1.,Angļu v.,Jaunjelgavas vidusskola,73.2
,Fiz.,Jaunjelgavas vidusskola,27.78
,Krievu v.,Jaunjelgavas vidusskola,80.13
,Ķīm.,Jaunjelgavas vidusskola,27.33
,Latv. val.,Jaunjelgavas vidusskola,50.28
,Matem.,Jaunjelgavas vidusskola,23.44
,Latv. val. 9.kl.,Jelgavas 2. internātpamatskola,52.46
,Latv. val. 9.kl.,Jelgavas 2. pamatskola,69.96
,Angļu v.,Jelgavas 4. vidusskola,71.59
,Bio.,Jelgavas 4. vidusskola,45.58
,Fiz.,Jelgavas 4. vidusskola,25.33
,Krievu v.,Jelgavas 4. vidusskola,65.2
,Ķīm.,Jelgavas 4. vidusskola,56.67
,Latv. val.,Jelgavas 4. vidusskola,56
,Vēsture,Jelgavas 4. vidusskola,48.29
,Matem.,Jelgavas 4. vidusskola,32.8
,Angļu v.,Jelgavas 5. vidusskola,58.95
,Bio.,Jelgavas 5. vidusskola,70
,Fiz.,Jelgavas 5. vidusskola,42.87
,Ķīm.,Jelgavas 5. vidusskola,79.33
,Latv. val.,Jelgavas 5. vidusskola,44.06
,Vēsture,Jelgavas 5. vidusskola,65.73
,Matem.,Jelgavas 5. vidusskola,51.05
,Latv. val. 9.kl.,Jelgavas 5. vidusskola,73.92
,Angļu v.,Jelgavas 6. vidusskola,49.73
,Fiz.,Jelgavas 6. vidusskola,40.67
,Latv. val.,Jelgavas 6. vidusskola,35.85
,Vēsture,Jelgavas 6. vidusskola,69.35
,Matem.,Jelgavas 6. vidusskola,32.81
,Latv. val. 9.kl.,Jelgavas 6. vidusskola,72.23
,Angļu v.,Jelgavas novada Neklātienes vidusskola,63.11
,Bio.,Jelgavas novada Neklātienes vidusskola,24
,Krievu v.,Jelgavas novada Neklātienes vidusskola,64.65
,Latv. val.,Jelgavas novada Neklātienes vidusskola,36.59
,Vēsture,Jelgavas novada Neklātienes vidusskola,35.4
,Matem.,Jelgavas novada Neklātienes vidusskola,10.97
,Angļu v.,Jelgavas Spīdolas ģimnāzija,79.81
,Bio.,Jelgavas Spīdolas ģimnāzija,65.47
,Fiz.,Jelgavas Spīdolas ģimnāzija,50.29
,Krievu v.,Jelgavas Spīdolas ģimnāzija,74.78
,Ķīm.,Jelgavas Spīdolas ģimnāzija,73.33
,Latv. val.,Jelgavas Spīdolas ģimnāzija,71.3
,Vēsture,Jelgavas Spīdolas ģimnāzija,76.5
,Matem.,Jelgavas Spīdolas ģimnāzija,42.79
,Vācu val.,Jelgavas Spīdolas ģimnāzija,88.12
,Angļu v.,Jelgavas Tehnoloģiju vidusskola,62.96
,Bio.,Jelgavas Tehnoloģiju vidusskola,50
,Fiz.,Jelgavas Tehnoloģiju vidusskola,42.47
,Krievu v.,Jelgavas Tehnoloģiju vidusskola,78.6
,Ķīm.,Jelgavas Tehnoloģiju vidusskola,82.67
,Latv. val.,Jelgavas Tehnoloģiju vidusskola,58.43
,Vēsture,Jelgavas Tehnoloģiju vidusskola,45.16
,Matem.,Jelgavas Tehnoloģiju vidusskola,35.44
,Angļu v.,Jelgavas Vakara (maiņu) vidusskola,62.88
,Bio.,Jelgavas Vakara (maiņu) vidusskola,38.67
,Krievu v.,Jelgavas Vakara (maiņu) vidusskola,74.42
,Latv. val.,Jelgavas Vakara (maiņu) vidusskola,42.68
,Vēsture,Jelgavas Vakara (maiņu) vidusskola,33.67
,Matem.,Jelgavas Vakara (maiņu) vidusskola,14.9
,Angļu v.,Jelgavas Valsts ģimnāzija,78.06
,Bio.,Jelgavas Valsts ģimnāzija,67.11
,Fiz.,Jelgavas Valsts ģimnāzija,46.73
,Krievu v.,Jelgavas Valsts ģimnāzija,75.73
,Ķīm.,Jelgavas Valsts ģimnāzija,73.74
,Latv. val.,Jelgavas Valsts ģimnāzija,69.5
,Vēsture,Jelgavas Valsts ģimnāzija,69.35
,Matem.,Jelgavas Valsts ģimnāzija,48.66