"1.","Angļu v.","Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola","67.23"
"","Bio.","Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola","54.98"
"","Fiz.","Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola","23.05"
"","Krievu v.","Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola","78.83"
"","Latv. val.","Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola","64.18"
"","Vēsture","Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola","57.86"
"","Matem.","Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola","34.39"
"","Angļu v.","J. Čakstes Liepājas pilsētas 10. vidusskola","69.95"
"","Bio.","J. Čakstes Liepājas pilsētas 10. vidusskola","69.17"
"","Krievu v.","J. Čakstes Liepājas pilsētas 10. vidusskola","55.64"
"","Latv. val.","J. Čakstes Liepājas pilsētas 10. vidusskola","57.08"
"","Vēsture","J. Čakstes Liepājas pilsētas 10. vidusskola","71.1"
"","Matem.","J. Čakstes Liepājas pilsētas 10. vidusskola","25.77"
"","Latv. val. 9.kl.","Liepājas 3. pamatskola","57.03"
"","Angļu v.","Liepājas 7. vidusskola","58.11"
"","Bio.","Liepājas 7. vidusskola","52"
"","Ķīm.","Liepājas 7. vidusskola","88.67"
"","Latv. val.","Liepājas 7. vidusskola","42.61"
"","Matem.","Liepājas 7. vidusskola","61.72"
"","Latv. val. 9.kl.","Liepājas 7. vidusskola","61.27"
"","Angļu v.","Liepājas 8. vidusskola","65.82"
"","Fiz.","Liepājas 8. vidusskola","25"
"","Krievu v.","Liepājas 8. vidusskola","79.79"
"","Latv. val.","Liepājas 8. vidusskola","39.66"
"","Vēsture","Liepājas 8. vidusskola","46.51"
"","Matem.","Liepājas 8. vidusskola","17.36"
"","Latv. val. 9.kl.","Liepājas 8. vidusskola","65.16"
"","Angļu v.","Liepājas A. Puškina 2. vidusskola","60.3"
"","Fiz.","Liepājas A. Puškina 2. vidusskola","44.67"
"","Ķīm.","Liepājas A. Puškina 2. vidusskola","71.33"
"","Latv. val.","Liepājas A. Puškina 2. vidusskola","44.11"
"","Matem.","Liepājas A. Puškina 2. vidusskola","44.77"
"","Latv. val. 9.kl.","Liepājas A. Puškina 2. vidusskola","66.59"
"","Angļu v.","Liepājas pilsētas 12. vidusskola","52.3"
"","Ķīm.","Liepājas pilsētas 12. vidusskola","72.44"
"","Latv. val.","Liepājas pilsētas 12. vidusskola","33.76"
"","Matem.","Liepājas pilsētas 12. vidusskola","34.17"
"","Latv. val. 9.kl.","Liepājas pilsētas 12. vidusskola","59.83"
"","Angļu v.","Liepājas Raiņa 6. vidusskola","61.82"
"","Bio.","Liepājas Raiņa 6. vidusskola","37.11"
"","Fiz.","Liepājas Raiņa 6. vidusskola","34.33"
"","Krievu v.","Liepājas Raiņa 6. vidusskola","59.03"
"","Latv. val.","Liepājas Raiņa 6. vidusskola","56.22"
"","Vēsture","Liepājas Raiņa 6. vidusskola","78.23"
"","Matem.","Liepājas Raiņa 6. vidusskola","24.1"
"","Angļu v.","Liepājas vakara (maiņu) vidusskola","42.46"
"","Bio.","Liepājas vakara (maiņu) vidusskola","47.33"
"","Krievu v.","Liepājas vakara (maiņu) vidusskola","62.1"
"","Ķīm.","Liepājas vakara (maiņu) vidusskola","34"
"","Latv. val.","Liepājas vakara (maiņu) vidusskola","44.69"
"","Vēsture","Liepājas vakara (maiņu) vidusskola","26.7"
"","Matem.","Liepājas vakara (maiņu) vidusskola","17.73"
"","Vācu val.","Liepājas vakara (maiņu) vidusskola","24.92"
"","Angļu v.","Liepājas Valsts 1. ģimnāzija","75.16"
"","Bio.","Liepājas Valsts 1. ģimnāzija","63.39"
"","Fiz.","Liepājas Valsts 1. ģimnāzija","63.41"
"","Krievu v.","Liepājas Valsts 1. ģimnāzija","66.55"
"","Ķīm.","Liepājas Valsts 1. ģimnāzija","70.17"
"","Latv. val.","Liepājas Valsts 1. ģimnāzija","68.84"
"","Vēsture","Liepājas Valsts 1. ģimnāzija","60.13"
"","Matem.","Liepājas Valsts 1. ģimnāzija","41.12"
"","Angļu v.","Oskara Kalpaka Liepājas 15. vidusskola","64.15"
"","Bio.","Oskara Kalpaka Liepājas 15. vidusskola","47.67"
"","Fiz.","Oskara Kalpaka Liepājas 15. vidusskola","46.44"
"","Krievu v.","Oskara Kalpaka Liepājas 15. vidusskola","61.52"
"","Ķīm.","Oskara Kalpaka Liepājas 15. vidusskola","50.67"
"","Latv. val.","Oskara Kalpaka Liepājas 15. vidusskola","59.14"
"","Vēsture","Oskara Kalpaka Liepājas 15. vidusskola","61.61"
"","Matem.","Oskara Kalpaka Liepājas 15. vidusskola","37.75"